A,PL1-AL-01,PL1-ACT-01-01,PL1-ACT-02-01,PL1-ACT-03-001
B,PL1-AL-02,PL1-ACT-01-02,PL1-ACT-02-02,PL1-ACT-03-002
C,PL1-AL-03,PL1-ACT-01-03,PL1-ACT-02-03,PL1-ACT-03-003
D,PL1-AL-04,PL1-ACT-01-04,PL1-ACT-02-04,PL1-ACT-03-004
E,PL1-AL-05,PL1-ACT-01-05,PL1-ACT-02-05,PL1-ACT-03-005
F,PL1-AL-06,PL1-ACT-01-06,PL1-ACT-02-06,PL1-ACT-03-006
G,PL1-AL-07,PL1-ACT-01-07,PL1-ACT-02-07,PL1-ACT-03-007
H,PL1-AL-08,PL1-ACT-01-08,PL1-ACT-02-08,PL1-ACT-03-008
I,PL1-AL-09,PL1-ACT-01-09,PL1-ACT-02-09,PL1-ACT-03-009
J,PL1-AL-10,PL1-ACT-01-10,PL1-ACT-02-10,PL1-ACT-03-010
K,PL1-AL-11,PL1-ACT-01-11,PL1-ACT-02-11,PL1-ACT-03-011
L,PL1-AL-12,PL1-ACT-01-12,PL1-ACT-02-12,PL1-ACT-03-012
M,PL1-AL-13,PL1-ACT-01-13,PL1-ACT-02-13,PL1-ACT-03-013
N,PL1-AL-14,PL1-ACT-01-14,PL1-ACT-02-14,PL1-ACT-03-014
O,PL1-AL-15,PL1-ACT-01-15,PL1-ACT-02-15,PL1-ACT-03-015
P,PL1-AL-16,PL1-ACT-01-16,PL1-ACT-02-16,PL1-ACT-03-016
Q,PL1-AL-17,PL1-ACT-01-17,PL1-ACT-02-17,PL1-ACT-03-017
R,PL1-AL-18,PL1-ACT-01-18,PL1-ACT-02-18,PL1-ACT-03-018
S,PL1-AL-19,PL1-ACT-01-19,PL1-ACT-02-19,PL1-ACT-03-019
T,PL1-AL-20,PL1-ACT-01-20,PL1-ACT-02-20,PL1-ACT-03-020
U,PL1-AL-21,PL1-ACT-01-21,PL1-ACT-02-21,PL1-ACT-03-021
V,PL1-AL-22,PL1-ACT-01-22,PL1-ACT-02-22,PL1-ACT-03-022
W,PL1-AL-23,PL1-ACT-01-23,PL1-ACT-02-23,PL1-ACT-03-023
X,PL1-AL-24,PL1-ACT-01-24,PL1-ACT-02-24,PL1-ACT-03-024
Y,PL1-AL-25,PL1-ACT-01-25,PL1-ACT-02-25,PL1-ACT-03-025
Z,PL1-AL-26,PL1-ACT-01-26,PL1-ACT-02-26,PL1-ACT-03-026
