type,level,title,animationURL,songURL
alphabet,1,A song,,https://youtu.be/xA9-0jxX1sU
alphabet,2,B song,,https://youtu.be/WWqojCjSmN4
alphabet,3,C song,,https://youtu.be/UQ684WlCYRk
alphabet,4,D song,,https://youtu.be/CMpdTDGKcPU
alphabet,5,E song,,https://youtu.be/gxfNg58GEeE
alphabet,6,F song,,https://youtu.be/kYT82y-ovEw
alphabet,7,G song,,https://youtu.be/473HTQdyN44
alphabet,8,H song,,https://youtu.be/YLKUJMUk9jk
alphabet,9,I song,,https://youtu.be/u1ReKQ_5IeY
alphabet,10,J song,,https://youtu.be/dGzBDzlbwVg
alphabet,11,K song,,https://youtu.be/E9MKCvGxaW8
alphabet,12,L song,,https://youtu.be/T3jXpV8DitY
alphabet,13,M song,,https://youtu.be/W_9rwbGT_dE
alphabet,14,N song,,https://youtu.be/_7rE486IbTA
alphabet,15,O song,,https://youtu.be/qyF1uMXhE1w
alphabet,16,P song,,https://youtu.be/sGyyr8QHC0I
alphabet,17,Q song,,https://youtu.be/vxmyoeg8ZZM
alphabet,18,R song,,https://youtu.be/YicD93vSQzE
alphabet,19,S song,,https://youtu.be/_9B7xf7csb0
alphabet,20,T song,,https://youtu.be/c-aUJn1MarM
alphabet,21,U song,,https://youtu.be/z7gsahtsSyY
alphabet,22,V song,,https://youtu.be/2A9CNqPNlUQ
alphabet,23,W song,,https://youtu.be/Zczk6PBW1KM
alphabet,24,X song,,https://youtu.be/5JFSrEqiX6M
alphabet,25,Y song,,https://youtu.be/PMS0psYGets
alphabet,26,Z song,,https://youtu.be/cnXeyiRaAjI
phanics,1,CH song,,
phanics,2,SH song,,
phanics,3,soft th_song,,
phanics,4,hard th_song,,
phanics,5,WH song,,
phanics,6,NG song,,
phanics,7,NK song,,
phanics,8,OI OY song,,
phanics,9,OW OU song,,
phanics,10,AI AY song,,
phanics,11,EA EE song,,
phanics,12,OO song,,
phanics,13,OA OW song,,
phanics,14,UI UE song,,
phanics,15,AW AU song,,
phanics,16,IE Y song,,
phanics,17,AR song,,
phanics,18,OR song,,
phanics,19,IR ER UR song,,
jamjam,1,my family,https://youtu.be/ZwUNr_1Wu6U,https://youtu.be/wukxDxXOA60
jamjam,2,good morning,https://youtu.be/EEhlpsT1_Mw,https://youtu.be/UmGFunH4R7A
jamjam,3,"one, two, three, four, five",https://youtu.be/qr98Rwi3VtU,https://youtu.be/bg8M76dvJoM
jamjam,4,how many friends?,https://youtu.be/RjLQoN3qnbM,https://youtu.be/fCMKVVWTcHA
jamjam,5,who am I?,https://youtu.be/_irxWp_vlhE,https://youtu.be/kld419DXYI4
jamjam,6,what are the animals doing?,https://youtu.be/_irxWp_vlhEE,https://youtu.be/LhPMCcSZ8-I
jamjam,7,am I beautiful?,https://youtu.be/WR10JNMxrC4,https://youtu.be/jMubsSqh1fU
jamjam,8,am I handsome?,https://youtu.be/WR10JNMxrC44,https://youtu.be/Y3nbWznTdI8
jamjam,9,I like apples,https://youtu.be/BoABUtFe7SE,https://youtu.be/TkpBFSvYFV0
jamjam,10,colors,https://youtu.be/FiOydHCrT4g,https://youtu.be/0GfadB0_Kj0
jamjam,11,It's time to go to bed,https://youtu.be/fFFnAvJ-qDI,https://youtu.be/tmMqryiDz7A
jamjam,12,what times is it now?,https://youtu.be/-PNpHa0xTuk,https://youtu.be/JiTJqs5D1Xs
jamjam,13,how is the weather?,https://youtu.be/_XODNRgdtQE,https://youtu.be/otjIXNAnZUk
jamjam,14,where is my cat?,https://youtu.be/37Vq6p6ZTSI,https://youtu.be/oXOpXgmx83k
jamjam,15,The best car,https://youtu.be/yuIA6PMZMNY,https://youtu.be/NVbGVeBYyis
jamjam,16,I go to the palyground,https://youtu.be/WHmngE2xruE,https://youtu.be/hBVnqtsmtv4
